news,label
2019ರ ಐಪಿಎಲ್​​ಗೆ ಆರ್​ಸಿಬಿ ಕ್ಯಾಪ್ಟನ್ ಇವರೆ: ತಂಡದ ವಕ್ತಾರ ಸ್ಪಷ್ಟನೆ,1
ಟಿ-20 ಕ್ರಿಕೆಟ್ ಇತಿಹಾಸದಲ್ಲಿ ದಾಖಲೆ ನಿರ್ಮಿಸಿದ ಪಾಕಿಸ್ತಾನ,1
 ಕೇಂದ್ರ ಸಚಿವ ಹರ್ಷ ವರ್ಧನ್ ಮೇಲೆ ಸಾರ್ವಜನಿಕರು ಹಲ್ಲೆ ಮಾಡಿದ ವಿಡಿಯೋ,0
ಅಂಡರ್-19 ಏಷ್ಯಾ ಕಪ್: ಬಾಂಗ್ಲಾರನ್ನ ಬಗ್ಗು ಬಡಿದು ಫೈನಲ್​​​ಗೆ ಲಗ್ಗೆ ಇಟ್ಟ ಭಾರತ,1
 ಆನ್ ಲೈನ್ ನುಸುಳುಕೋರರ ಪತ್ತೆಗೆ ವಿಶೇಷ ಸಾಧನ,0
ಇಂದು ಲಾಂಚ್​ ಆಗಲಿದೆ Galaxy Note 9: ವಿಶೇಷತೆಗಳೇನು? ಇಲ್ಲಿದೆ ವಿವರ,1
ಜಿಯೋ ರೈಲ್​ ಆ್ಯಪ್​: ಇನ್ಮುಂದೆ ಸರತಿ ಸಾಲಿನಲ್ಲಿ ನಿಂತು ಟಿಕೆಟ್ ಪಡೆಯಬೇಕಿಲ್ಲ!,1
 ಕಲ್ಲು ಉಪ್ಪು ಮತ್ತು ಈರುಳ್ಳಿ ಕೊರೊನಾದಿಂದ ಗುಣಪಡಿಸುತ್ತಂತೆ,0
 ನೈನಿತಾಲ್‌ನ ನಕಲಿ ಫೋಟೋ ಹಂಚಿಕೆ ,0
"ಫ್ಯಾಕ್ಟ್‌ ಚೆಕ್‌: ಪೊಲೀಸ್ ಮೇಲೆ ಹಲ್ಲೆ ಆರೋಪ, ವೈರಲ್ ಆಗಿರುವ ಚಿತ್ರ ನಿಜವೇ?",0
 ತೆಲುಗು ಅಮೆರಿಕದ ಅಧಿಕೃತ ಭಾಷೆ!'],0
