,news,source,label
0,ಪ್ರಧಾನಿ ಮೋದಿ ಪ್ರಶಸ್ತಿ ಸ್ವೀಕರಿಸುತ್ತಿರುವ ಹಳೆಯ ವೀಡಿಯೊವನ್ನು ಇತ್ತೀಚಿನದ್ದು ಎಂದು ಹಂಚಿಕೆ,factly,0
1,"ಪೊಲೀಸರ ಮೇಲೆ ಉಗುಳಿರುವ ಮಹಿಳೆ ನೆಟ್ಟ ಡಿಸೋಜಾ, ತೀಸ್ತಾ ಸೆಟಲ್ವಾಡ್ ಅಲ್ಲ",factly,0
2,ಸೋನಿಯಾ ಗಾಂಧಿಯೊಂದಿಗೆ ಇರುವುದು ನ್ಯಾಯಮೂರ್ತಿ ಕೆ.ಜಿ. ಬಾಲಕೃಷ್ಣನ್ ಹೊರತು ಜೆ.ಬಿ.ಪರ್ದಿವಾಲಾ ಅಲ್ಲ,factly,0
3,ಮಧುರೈ ಚಿತ್ತಿರೈ ಉತ್ಸವಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ಹಳೆಯ ವೀಡಿಯೊವನ್ನು ಜಗನ್ನಾಥ ರಥಯಾತ್ರೆ ಎಂದು ಹಂಚಿಕೆ,factly,0
4,ಸುಪ್ರೀಂ ಕೋರ್ಟ್ ಜಡ್ಜ್ ಸೂರ್ಯ ಕಾಂತ್ ಜೊತೆಯಲ್ಲಿ ಪತ್ರಕರ್ತರ ಔತಣ ಕೂಟ ಎಂಬುದು ಸುಳ್ಳು,factly,0
5,ನೀರಿನಲ್ಲಿ ಕೊಚ್ಚಿ ಹೋಗುತ್ತಿದ್ದ ಇಬ್ಬರು ಮಕ್ಕಳನ್ನುಕಾಪಾಡಿದ ವ್ಯಕ್ತಿ ಮಕ್ಕಳ ತಂದೆಯಲ್ಲ,factly,0
6,ದೇವಸ್ಥಾನದ ಅರ್ಚಕರಿಂದ ಹಲ್ಲೆಗೊಳಗಾದ ವ್ಯಕ್ತಿ ಕ್ರಿಶ್ಚಿಯನ್ ಅಲ್ಲ,factly,0
7,ರಾಮ ನನ್ನ ಆದರ್ಶ ಎಂದು ಅಜಂ ಖಾನ್ ಹೇಳಿಕೆಯ ಹಳೆಯ ವಿಡಿಯೊವನ್ನು ಇ‍ತೀಚಿನದ್ದು ಎಂದು ಹಂಚಿಕೆ,factly,0
8,ಸ್ಮಾರ್ಟ್‌ವಾಚ್ ಬಳಸಿ ಫಾಸ್ಟ್‌ಟ್ಯಾಗ್ ಹಣ ಲೂಟಿ ಮಾಡಲಾಗಿದೆ ಎಂಬುದು ನಾಟಕೀಯ ವಿಡಿಯೊ,factly,0
9,ಉದ್ದವ್ ಠಾಕ್ರೆ ಕಚೇರಿಯಲ್ಲಿ ಮೊದಲಿನಿಂದಲೂ ಶಿವಾಜಿ ಮತ್ತು ಬಾಳ್ ಠಾಕ್ರೆ ಫೋಟೋಗಳು ಇದ್ದವು,factly,0
