,news,source,label
0,"ವಿಮೆ ಹಣ ಪಡೆಯಲು ಪತ್ನಿಯ ಗುಂಡಿಕ್ಕಿ ಕೊಂದ, ಸಾಲ ತೀರಿಸುವ ಮೊದಲೇ ಪತಿ ಅಂದರ್",asianet,1
1,"ಸ್ವಾತಂತ್ರ್ಯ ದಿನಾಚರಣೆಗೆ ಭಾರಿ ವಿದ್ವಂಸಕ ಕೃತ್ಯಕ್ಕೆ ಪ್ಲಾನ್, ISIS ಉಗ್ರನ ಬಂಧಿಸಿದ NIA",asianet,1
2,"ಇಸ್ರೋದಿಂದ ಮತ್ತೊಂದು ಇತಿಹಾಸ, ಎಸ್ಸೆಸ್ಸೆಲ್ವಿ ಚಿಕ್ಕ ರಾಕೆಟ್‌ ಬಳಸಿ ಉಪಗ್ರಹ ಉಡಾವಣೆ",asianet,1
3,ಬ್ಲೂಟೂತ್ ಅಭ್ಯರ್ಥಿಗಳಿಗೆ KPSC ಶಾಶ್ವತ ಡಿಬಾರ್ ,asianet,1
4,"ಕೋಲಾರ: ಆರೆಸ್ಸೆಸ್‌ ಮುಖಂಡನ ಮೇಲೆ ಹಲ್ಲೆ, ಕೊಲೆಗೆ ಯತ್ನ",asianet,1
5,"ಆಫ್ರಿಕಾದ ಚೀತಾ ಭಾರತದ ಕಾಡಿಗೆ, ವೈಲ್ಡ್‌ಲೈಫ್‌ ತಜ್ಞರ ಕುತೂಹಲ ಪ್ರಯೋಗ",asianet,1
6,ಗಾಜಾ ಮೇಲೆ ಇಸ್ರೇಲ್‌ ವೈಮಾನಿಕ ದಾಳಿ: ಓರ್ವ ಉಗ್ರ ಕಮಾಂಡರ್‌ ಸೇರಿ 10 ಮಂದಿ ಬಲಿ,asianet,1
7,Gadag: ಶ್ರಾವಣ ಶನಿವಾರವೇ ಹನುಮ ಮೂರ್ತಿಯನ್ನು ಕಳ್ಳತನ ಮಾಡಿದ ಕಿಡಿಗೇಡಿಗಳು,asianet,1
8,ಯಾದಗಿರಿಗೂ ಅಂಟಿದ ಪಿಎಸ್ಐ ಅಕ್ರಮ ನಂಟು: ಸಿದ್ದುಗೌಡ ಅರೆಸ್ಟ್,asianet,1
9,"ಸುಷ್ಮಾ ಸ್ವರಾಜ್ ಪುಣ್ಯತಿಥಿ, ವಿರೋಧಿಗಳೇ ತಲೆಬಾಗಿದ, ಭಾರತದ ಅತ್ಯಂತ ಪ್ರೀತಿಯ ರಾಜಕಾರಣಿಗೆ ಗೌರವ ನಮನ",asianet,1
