,news,source,label
0, ಹೆಣ ಕಂಡ್ರೆ ಓಡೋಡಿ ಬರೋ ಶೋಭಾ ಕರಂದ್ಲಾಜೆ ಸಮಸ್ಯೆಗಳಿಗೆ ಬಾಯಿ ಬಿಡಲ್ಲ ಯಾಕೆ?,news18,1
1, ಮಳೆಗಾಲದಲ್ಲಿ ಮನೆಯಿಂದ ಹೊರ ಹೋಗುವಾಗ ಇವುಗಳ ಬಗ್ಗೆ ಮರೆಯಬೇಡಿ,news18,1
2," ನಟ ಆಮಿರ್ ತಮ್ಮ ಮಕ್ಕಳ ಜೊತೆ ಹೆಚ್ಚು ಸಮಯ ಕಳೆದಿಲ್ವಂತೆ, ಕಾರಣ ಕೇಳಿ",news18,1
3, ಮಳೆಯಿಂದ ಬಿದ್ದೋಯ್ತು ಮನೆ; ಕೇಳೋರಿಲ್ಲ ಮುಷ್ಟೂರು ಜನರ ನರಕಯಾತನೆ,news18,1
4, ಶನಿದೇವನ ಹಿಮ್ಮುಖ ಚಲನೆ,news18,1
5," ಮೊದಲ ವಾರವೇ ಸೋನು ಗೌಡ ನಾಮಿನೇಟ್, ಶುರುವಾಯ್ತು ಬಿಗ್​ ಬಾಸ್​ ಮನೆಯಲ್ಲಿ ವಾರ್​",news18,1
6," ಕಾಮನ್​ವೆಲ್ತ್​​ ಗೇಮ್ಸ್​ನಲ್ಲಿ ಪದಕ ಗೆದ್ದು ಬಂದ ಗುರುರಾಜ್ ಪೂಜಾರಿ, ಸರ್ಕಾರದ ವಿರುದ್ಧ ಬೇಸರ",news18,1
7, ಮಾಜಿ ಸ್ಪೀಕರ್​ ಬಸವರಾಜ ಹೊರಟ್ಟಿ ಕಾರು ಅಪಘಾತ; ಕ್ಷುಲ್ಲಕ ಕಾರಣಕ್ಕೆ ಆಟೋ ಚಾಲಕನಿಗೆ ಚಾಕು ಇರಿತ,news18,1
8, ಶನಿದೇವರ ಪೂಜೆ ವೇಳೆ ಯಾವ ತಪ್ಪುಗಳನ್ನು ಮಾಡಬಾರದು,news18,1
9, ಅಮೆಜಾನ್​​ನಲ್ಲಿ ಆಫರ್​​ಗಳ ಹಬ್ಬ,news18,1
10, ಎಲ್ಲರ ಬದುಕು ಸರಿ ಮಾಡೋ ರಾಮಾಚಾರಿ ಮನೆ ಒಡೆದು ಹೋಗುತ್ತಾ? ರಾಮನಿಂದ ದೂರ ಆಗ್ತಾನಾ ಕೋದಂಡ?,news18,1
11," ಬಾಲಿವುಡ್ ಸಿನಿಮಾಗಳು ಸದ್ದು ಮಾಡದಿರಲು ಆಮಿರ್ ಖಾನ್ ಕಾರಣವಂತೆ, ಕರಣ್ ಜೋಹರ್ ಹೀಗೆ ಅಂದಿದ್ಯಾಕೆ?",news18,1
12, ಮದುವೆ ಆಗ್ತಿದ್ದಾರಂತೆ ಕೀರ್ತಿ ಸುರೇಶ್! ಮಹಾನಟಿ ಕೈ ಹಿಡಿಯೋರು ಯಾರು ಗೊತ್ತಾ?,news18,1
13, ನಟ ಸುದೀಪ್​ ಮನೆಗೆ ತೆರಳಿ ತ್ರಿವರ್ಣ ಧ್ವಜ ನೀಡಿದ ನಳೀನ್ ಕುಮಾರ್ ಕಟೀಲ್​​,news18,1
14, ಧನು ರಾಶಿಯವರಿಗೆ ಕಳ್ಳತನದ ಅಪಾಯ ಇದೆ,news18,1
15, ಗೋವಾದಲ್ಲಿ ಪುಟ್ಟ ಪುಟ್ಟ ಗಣಪನಿಗೆ ಭಾರೀ ಬೇಡಿಕೆ,news18,1
16," ಏಷ್ಯಾಕಪ್‌ಗೂ ಮುನ್ನ ಟೀಂ ಇಂಡಿಯಾಗೆ ಬಿಗ್​ ಶಾಕ್​, ಸ್ಟಾರ್​ ಬೌಲರ್ ಔಟ್",news18,1
17, ಹರ್ ಘರ್ ತಿರಂಗಾ ಅಭಿಯಾನ ನಿಜವಾದ ದೇಶಪ್ರೇಮವಲ್ಲ; ಕೇಂದ್ರದ ವಿರುದ್ಧ ನಟ ಪ್ರಕಾಶ್ ರಾಜ್ ಕಿಡಿ,news18,1
18," ಅರಶಿನ ಸೇವಿಸಿ, ಮಳೆಗಾಲದಲ್ಲಿ ಅನಾರೋಗ್ಯ ದೂರವಿರಿಸಿ",news18,1
19, ರಾಜ್ಯದಲ್ಲಿ ಇನ್ನೂ 2 ದಿನ ಭಾರೀ ಮಳೆ,news18,1
20," ನಾಯಕತ್ವದಲ್ಲಿ ಹೊಸ ದಾಖಲೆ ಬರೆದ ಹಿಟ್​ ಮ್ಯಾನ್, ಈ ಸಲ ವಿಶ್ವಕಪ್ ನಮ್ದೇ ಅಂತಿದ್ದಾರೆ ರೋಹಿತ್​ ಫ್ಯಾನ್",news18,1
21, ವಂಶಿಕಾ ಜೊತೆ ರಾ ರಾ ರಕ್ಕಮ್ಮ ಹಾಡಿಗೆ ಸಖತ್ ಸ್ಟೆಪ್ಸ್​ ಹಾಕಿದ ಅದಿತಿ ಪ್ರಭುದೇವ,news18,1
22," ಕೂದಲ ಸಮಸ್ಯೆಗೆ ಬೆಳ್ಳುಳ್ಳಿ ಎಣ್ಣೆ ಬಳಸಿ, ಮಳೆಗಾಲದಲ್ಲಿ ಕೂದಲ ಆರೈಕೆಗೆ ಇದು ಬೆಸ್ಟ್​!",news18,1
23,"ರೈಲ್ವೆ ಪ್ರಯಾಣಿಕರಿಗೆ ಗುಡ್​ ನ್ಯೂಸ್​, ಆರಂಭವಾಗಿದೆ IRCTC QR ಕೋಡ್ ಪಾವತಿ ಸೇವೆ",news18,1
24, ರಾಜ್ಯದಲ್ಲಿ ಇನ್ನೂ 2 ದಿನ ಭಾರೀ ಮಳೆ; ಸಾಕಪ್ಪ ಸಾಕು ನಿಲ್ಲೋ ಮಳೆರಾಯ,news18,1
25, ಪ್ರತಿದಿನ ಹೆಚ್ಚು ಸಕ್ಕರೆ ಸೇವನೆ ಮಾಡುವುದು ಈ ಸಮಸ್ಯೆಗಳಿಗೆ ಕಾರಣವಾಗುತ್ತದೆ,news18,1
26, ಈ ಆಹಾರಗಳನ್ನು ಸೇವನೆ ಮಾಡೋದ್ರಿಂದ ಹೃದಯ ಸಮಸ್ಯೆ ಬರದಂತೆ ತಡೆಯಬಹುದು,news18,1
27, ಕೇಂದ್ರ ಸರ್ಕಾರದ ಬಿಐಎಸ್​ನಲ್ಲಿ 100 ಹುದ್ದೆಗಳಿಗೆ ಅರ್ಜಿ ಆಹ್ವಾನ; ಮಾಸಿಕ 50 ಸಾವಿರ ರೂ ವೇತನ,news18,1
28, ಅಡುಗೆಗೆ ಉಪ್ಪು ಹೆಚ್ಚು ಹಾಕಿದ್ರೆ ಟೆನ್ಶನ್​​ ಮಾಡ್ಬೇಡಿ! ರುಚಿ ಸರಿದೂಗಿಸಲು ಈ ಐಡಿಯಾ ವರ್ಕ್​ಔಟ್​ ಆಗುತ್ತೆ,news18,1
29, ನೀತಿ ಆಯೋಗದ ಸಭೆಯಲ್ಲಿ ಬಿಜೆಪಿಯೇತರ CMಗಳ ಜೊತೆ ಮೋದಿ ಮಾತುಕತೆ ಹೇಗಿತ್ತು?,news18,1
30, ಈ ರಹಸ್ಯವನ್ನು ಎಂದಿಗೂ ಗಂಡನ ಮುಂದೆ ಹೇಳುವುದಿಲ್ಲವಂತೆ ಹೆಂಡತಿಯರು,news18,1
31, ಹುಬ್ಬಳ್ಳಿಯಲ್ಲಿ ಬಸವರಾಜ ಹೊರಟ್ಟಿ ಕಾರು ಅಪಘಾತ,news18,1
32," ಶೂಟಿಂಗ್​ ಸೆಟ್​ನಲ್ಲಿ ಅಪಾಯದಿಂದ ಬಚಾವ್ ಆದ ನಾನಿ, ಚಿತ್ರೀಕರಣ ಮುಂದೂಡಿದ ಚಿತ್ರತಂಡ",news18,1
33," ಮೊದಲ ದಿನವೇ ಕಷ್ಟದ ಕಥೆ ಹೇಳಿಕೊಂಡು ಕಣ್ಣೀರಿಟ್ಟ ಸ್ಪರ್ಧಿಗಳು, ಫುಲ್ ಎಮೋಷನಲ್​ ಎಪಿಸೋಡ್",news18,1
34,Detox ಜ್ಯೂಸ್ ಆರೋಗ್ಯಕ್ಕೆ ತುಂಬಾ ಒಳ್ಳೆಯದು! ಇದರಿಂದ ದೇಹಕ್ಕೆ ಸಿಗುವ ಲಾಭವೇನು ಗೊತ್ತಾ?,news18,1
35, ಶ್ರಾವಣದಲ್ಲಿ ನಾನ್​​ವೆಜ್​​ಗಿಂತ ರುಚಿಕರ ಎನಿಸುವ ಕಾಡು ಅಣಬೆಗಳ ಲೋಕಲ್ ಮಾರ್ಕೆಟ್ ಇದು,news18,1
36, ಔಷಧಿ ಇಲ್ಲದೆಯೇ ರಕ್ತದೊತ್ತಡ ನಿಯಂತ್ರಿಸಿ! ಇಲ್ಲಿವೆ ಸುಲಭ ಮನೆಮದ್ದು,news18,1
37," ಅಕ್ರಮ ಪ್ಲಾಟಿಂಗ್ ನಡೆಸಿದ 40 ಜನರ ಪಟ್ಟಿಯಲ್ಲಿ ಬಿಜೆಪಿ ಶಾಸಕ, ಮೇಯರ್ ಹೆಸರು!",news18,1
38, ಮನೆ ಮನೆಗೂ ತಿರಂಗ; ಸಾಗರದಲ್ಲಿ ಪ್ರತಿದಿನ ಸಿದ್ಧವಾಗ್ತಿದೆ 7 ಸಾವಿರ ರಾಷ್ಟ್ರಧ್ವಜ,news18,1
39, ಹುಡುಗರ ಹಾರ್ಟ್‌ಗೆ ಕಿಚ್ಚಿಡುತ್ತಿದ್ದ ಉರ್ಫಿಗೆ ಈಗ ಅನಾರೋಗ್ಯವಂತೆ! ಬೇಗ ಹುಷಾರಾಗಿ ಅಂತಿದ್ದಾರೆ ಫ್ಯಾನ್ಸ್,news18,1
40," ಭರ್ಜರಿ ಡಿಮ್ಯಾಂಡ್​ ಮಾಡ್ತಿದ್ದಾರಂತೆ ರಶ್ಮಿಕಾ, ಶ್ರೀವಲ್ಲಿ ಸಂಭಾವನೆ ಕೇಳಿ ಶಾಕ್ ಆದ ನಿರ್ಮಾಪಕರು",news18,1
41,Samsung Galaxy Z Fold 4 ಮತ್ತು Flip 4 ಲೈವ್ ಫೋಟೋಗಳು ಸೋರಿಕೆ! ಆಗಸ್ಟ್ 10 ರಂದು ಬಿಡುಗಡೆ ಆಗುತ್ತಾ?,news18,1
42,"US, China ಮಧ್ಯೆ ಸಂಘರ್ಷಕ್ಕೆ ಕಾರಣವಾಗಿರುವ ತೈವಾನ್ ಬಗ್ಗೆ ನಿಮಗೆಷ್ಟು ಗೊತ್ತು? ನಿಜಕ್ಕೂ ಇದು ಭಿನ್ನ ದೇಶ",news18,1
43," ಬೇವು ಇದ್ದರೆ ಉತ್ತಮ ಆರೋಗ್ಯ, ಪ್ರಯೋಜನ ತಿಳಿದುಕೊಳ್ಳಿ",news18,1
44, ದರ್ಗಾಕ್ಕೆ ಕಾರು ಡಿಕ್ಕಿ ಹೊಡೆದು ಮೂವರು ಸ್ಥಳದಲ್ಲೇ ಸಾವು!,news18,1
45," ಹೊಂಬಾಳೆ ಫಿಲ್ಸ್ಮ್​ ಮೂಲಕ ರಮ್ಯಾ ಕಮ್​ ಬ್ಯಾಕ್, ಪುನೀತ್ ಆಸೆ ಈಡೇರಿಸುತ್ತಾ ಸಂಸ್ಥೆ​?",news18,1
46," ಇನ್ನೂ ನಿಂತಿಲ್ಲ ರಾಕಿ ಭಾಯ್​ ಹವಾ, ಜಪಾನ್​ ನಲ್ಲೂ KGF 2  ಗುಣಗಾನ",news18,1
47, ಮಗಳಿಗೆ ಆಸ್ಪತ್ರೆಯಲ್ಲೇ ವಿಷದ ಇಂಜೆಕ್ಷನ್ ಕೊಡಲು ತಂದೆಯಿಂದಲೇ ಸುಪಾರಿ! ಏಕೆ?,news18,1
48,Green Tea or Black Tea; ಇವೆರಡರಲ್ಲಿ ಯಾವುದು ಬೆಸ್ಟ್? ಹೆಚ್ಚು ಆರೋಗ್ಯದಾಯಕ ಯಾವುದು?,news18,1
