,news,source,label
0,ದರ್ಶ ಸೂಪರ್ ಸ್ಪೆಷಾಲಿಟಿ ಆಸ್ಪತ್ರೆ ಉದ್ಘಾಟನೆ ಆ 16ಕ್ಕೆ ,prajavani,1
1,ಬಹೂಪಯೋಗಿ ಡ್ರೋನ್‌ ಅಭಿವೃದ್ಧಿಪಡಿಸುತ್ತಿರುವ ಎಚ್‌ಎಎಲ್‌ ,prajavani,1
2,ದಕ್ಷಿಣ ಕನ್ನಡ: ವ್ಯಾಪಾರ ನಿರ್ಬಂಧ ತೆರವು– 144 ಸೆಕ್ಷನ್‌ ಮುಂದುವರಿಕೆ ,prajavani,1
3,ಅತ್ಯಾಚಾರಿಗೆ ಮರಣದಂಡನೆ ಶಿಕ್ಷೆ ಕುರಿತು ಗೆಹಲೋತ್‌ ಹೇಳಿಕೆ: ಬಿಜೆಪಿ ಕಿಡಿ ,prajavani,1
4,ಆರೋಗ್ಯ ಸರ್ವರ ಸ್ವತ್ತಾಗಲಿ–ಮಾಜಿ ಶಾಸಕ ಗವಿಯಪ್ಪ ,prajavani,1
5,ಪ್ರವೀಣ್‌ ನೆಟ್ಟಾರು ಹತ್ಯೆ: ಮತ್ತಿಬ್ಬರ ಬಂಧನ ,prajavani,1
6,ಮಣಿಪುರ ಸ್ವಾಯತ್ತ ಮಸೂದೆ: ಎಟಿಎಸ್‌ಯುಎಂ ಪ್ರತಿಭಟನೆ ,prajavani,1
7,12ರಿಂದ ರಾಯರ ಆರಾಧನಾ ಮಹೋತ್ಸವ ,prajavani,1
8,‘ಶಾಂತಿಯಿಂದ ಹಬ್ಬ ಆಚರಿಸಿ’ ,prajavani,1
9,ವಿಶ್ವಕರ್ಮ ಸಮಾಜ ಎಸ್‌ಟಿಗೆ ಸೇರಿಸಿ ,prajavani,1
10,ಮೊಹರಂ: 32 ಬಂಡಿ ಎಳೆದ ಎತ್ತು ,prajavani,1
11,ಕರಾಟೆ ಹೆಣ್ಣುಮಕ್ಕಳಿಗೆ ವರದಾನ: ನಡಹಳ್ಳಿ ,prajavani,1
12,‘ಗ್ರಾಮಸಭೆ ನಡೆಸಿ ಮನೆ ಹಂಚಿಕೆ ಮಾಡಿ’ ,prajavani,1
13,‘ಶೃತಿ ಸೇರಿದಾಗ’ ಕಾರ್ಯಕ್ರಮ ,prajavani,1
14,ದೇಶ ಬಲಿಷ್ಠವಾಗಿಸಲು ಯುವಶಕ್ತಿಗೆ ಕರೆ ,prajavani,1
15,ಆಕಾಸಾ ಏರ್‌ ಸೇವೆ ಆರಂಭ ,prajavani,1
16,"ಟ್ರಿಪಲ್‌ ಜಂಪ್‌ ಚಿನ್ನ, ಬೆಳ್ಳಿ ಭಾರತಕ್ಕೆ ",prajavani,1
17,ಶುಲ್ಕ ಪರಿಷ್ಕರಣೆ ಅಗತ್ಯ: ವಿಐಎಲ್‌ ,prajavani,1
18,ಪತಿ ಕೊಲ್ಲಿಸಿದ ಪತ್ನಿ ಸೇರಿ ನಾಲ್ವರ ಬಂಧನ ,prajavani,1
19,‘ಕಾರ್ಪೊರೇಟ್‌’ ಕಪಿಮುಷ್ಟಿಯಲ್ಲಿ ಮಾಧ್ಯಮಗಳು: ಸಿ.ಜಿ.ಮಂಜುಳಾ ಹೇಳಿಕೆ ,prajavani,1
20,ಚಾಮರಾಜನಗರ ಜಿಲ್ಲೆಗೆ 25 ವರ್ಷ: ಅಭಿವೃದ್ಧಿಗೆ ಆಗಬೇಕಾಗಿರುವುದೇನು? ,prajavani,1
21,ಹುತಾತ್ಮ ಸೇನಾನಿ ಮೇಜರ್‌ ಕೆ.ಕೆ.ರಾವ್‌ಗೆ ನಮನ ,prajavani,1
22,ಖಾದಿ ಧ್ವಜಕ್ಕೆ ಮಾತ್ರ ಅವಕಾಶಕ್ಕೆ ಆಗ್ರಹ ,prajavani,1
23,ಕೇಂದ್ರ ಸಂಪುಟ ಸೇರಲ್ಲ: ಬಿಹಾರ ಸಿಎಂ ನಿತೀಶ್ ಕುಮಾರ್‌ ನೇತೃತ್ವದ ಜೆಡಿಯು ,prajavani,1
24,ಹುಲಿ ಸಂರಕ್ಷಿತ ಪ್ರದೇಶ ಘೋಷಣೆ ಸಿ.ಎಂ ನಿರ್ಧಾರಕ್ಕೆ: ಉಮೇಶ ಕತ್ತಿ ,prajavani,1
25,ಸೇತುವೆಯಾಗಿ ಕಾರ್ಯ: ಶಿವರಾಜ್ ,prajavani,1
26,"ಶೀಘ್ರ ಕನ್ನಡ, ಜಾನಪದ ಪಿಜಿ ಆರಂಭ ",prajavani,1
27,ಉಗ್ರ ಸಂಘಟನೆಯೊಂದಿಗೆ ಸಂಪರ್ಕ ಹೊಂದಿದ್ದ ವ್ಯಕ್ತಿ ಬಂಧನ ,prajavani,1
28,58ನೇ ‘ಮನೆಯಂಗಳದಲ್ಲಿ ಮಾತು’ ,prajavani,1
29,ತ್ಯಾಗ ಬಲಿದಾನದ ಸಂಕೇತವೇ ಸ್ವಾತಂತ್ರ್ಯ ,prajavani,1
30,ಆಳಂದದಲ್ಲಿ 75 ಕಿ.ಮೀ. ತಿರಂಗ ಯಾತ್ರೆ ,prajavani,1
31,ಫಿಡೆ ಉಪಾಧ್ಯಕ್ಷರಾಗಿ ಆನಂದ್ ,prajavani,1
32,ಬಹಮನಿಯರ ಕೋಟೆ ಮೇಲೆ ಹಾರಾಡಲಿದೆ ರಾಷ್ಟ್ರಧ್ವಜ ,prajavani,1
33,ದೆಹಲಿ: ಸಕ್ರಿಯ ಐಎಸ್‌ ಉಗ್ರನನ್ನು ಬಂಧಿಸಿದ ಎನ್‌ಐಎ ,prajavani,1
34,ಹೆಣ ಕಂಡರೆ ಓಡೋಡಿ ಬರುವ ಶೋಭಾ ಸಮಸ್ಯೆಗಳಿಗೆ ಬಾಯಿ ಬಿಡದಿರುವುದೇಕೆ?: ಕಾಂಗ್ರೆಸ್ ,prajavani,1
35,ವಸತಿ ರಹಿತರ ಮಾಹಿತಿ ಸಂಗ್ರಹಿಸಿ: ಸಚಿವ ಕೋಟ ಶ್ರೀನಿವಾಸ ಪೂಜಾರಿ ಸೂಚನೆ ,prajavani,1
36,ಉತ್ತರ ಪ್ರದೇಶ: ಯೋಗಿ ಸಂಪುಟದ ಸಚಿವ ನಿಶಾದ್‌ಗೆ ಜಾಮೀನು ರಹಿತ ವಾರಂಟ್‌ ,prajavani,1
37,ಕಾಂಗ್ರೆಸ್‌ನಿಂದ ಮಾತ್ರ ಬಡವರ ಅಭಿವೃದ್ಧಿ: ಶಾಸಕ ಹಿಟ್ನಾಳ ಹೇಳಿಕೆ ,prajavani,1
38,ಮಹಿಳಾ ಹಾಕಿ: ಭಾರತ ತಂಡಕ್ಕೆ ಕಂಚು ,prajavani,1
39,ಬೆಳೆಹಾನಿ: ವಾಸ್ತವ ವರದಿ ಸಲ್ಲಿಸಿ ,prajavani,1
40,ಕಲ್ಲಿದ್ದಲು ಆಮದು ತಗ್ಗಿಸಲು ಸ್ಥಾಯಿ ಸಮಿತಿ ಸಲಹೆ ,prajavani,1
41,ದೆಹಲಿಯ ಜಾಮಾ ಮಸೀದಿ ದೇಶದ ಅತಿದೊಡ್ಡ ಮಸೀದಿಯಲ್ಲ: ಇತಿಹಾಸಕಾರರ ಅಭಿಪ್ರಾಯ ,prajavani,1
