,news,source,label
0,CWG 2022: ನಿಖತ್ ಜರೀನ್‌ಗೆ ಒಲಿದ ಚಿನ್ನ – ಬಾಕ್ಸಿಂಗ್‌ನಲ್ಲಿ ಭಾರತಕ್ಕಿಂದು ಹ್ಯಾಟ್ರಿಕ್ ಗೋಲ್ಡ್,publictv,1
1,ನೆರೆಮನೆ ಗಿಳಿಯ ಕಿರಿಕಿರಿ ತಾಳಲಾಗದೇ ಪೊಲೀಸರಿಗೆ ದೂರು ನೀಡಿದ ಅಜ್ಜ,publictv,1
2,ಘಾಟಿ ಸುಬ್ರಹ್ಮಣ್ಯ ದೇವರಿಗೆ ವಿಶೇಷ ಪೂಜೆ ಸಲ್ಲಿಸಿದ ಕ್ರಿಕೆಟಿಗ ಕೆ.ಎಲ್.ರಾಹುಲ್,publictv,1
3,ಪುತ್ರಿಯ ಮೂರನೇ ಮದುವೆ ಸಿದ್ಧತೆಯ ಬೆನ್ನಲ್ಲೇ ಆಸ್ತಿ ಹಂಚಿಕೆಗೆ ಮೆಗಾಸ್ಟಾರ್ ನಿರ್ಧಾರ,publictv,1
4,ಸಿದ್ದರಾಮಯ್ಯ ಸಮಾವೇಶ ಸ್ಟೀರಾಯ್ಡ್ ಇದ್ದಂತೆ – ಸಚಿವ ಸಿ.ಸಿ ಪಾಟೀಲ್,publictv,1
5,75ನೇ ಸ್ವಾತಂತ್ರ್ಯ ಸಂಭ್ರಮಕ್ಕೆ 75 ಮೀ. ತಿರಂಗಾದೊಂದಿಗೆ 75 ಕಿ.ಮೀ ರ‍್ಯಾಲಿ,publictv,1
6,ಬೈಕ್ ಮೇಲೆ ಬಿದ್ದ ಬೃಹತ್ ಗಾತ್ರದ ಮರ- ನರಳಾಡಿ ಪ್ರಾಣಬಿಟ್ಟ ಸವಾರ,publictv,1
7,ಹೈಕಮಾಂಡ್ ಅವಕಾಶ ಕೊಟ್ಟರೇ ನಾವು ಸಿದ್ದರಾಮೋತ್ಸವಕ್ಕಿಂತಲೂ ಹೆಚ್ಚು ಜನರನ್ನು ಸೇರಿಸುತ್ತೇವೆ: ಕೆ.ಪಿ.ನಂಜುಂಡಿ,publictv,1
8,"ಚುನಾಯಿತರಾಗಿದ್ದು ಮಹಿಳೆಯರು; ಆದ್ರೆ ಪ್ರಮಾಣವಚನ ಸ್ವೀರಿಸಿದ್ದು ಪತಿ, ತಂದೆ – ಅಧಿಕಾರಿ ಅಮಾನತು",publictv,1
9,ಪ್ರಧಾನಿ ಬಂದಾಗ ಮಾತ್ರ ರಸ್ತೆ ಮಾಡಿಸ್ತೀರಾ,publictv,1
10,18ರ ಯುವತಿ ಆರ್ಯ ವಾಲ್ವೇಕರ್‌ಗೆ ಮಿಸ್ ಇಂಡಿಯಾ USA-2022 ಕಿರೀಟ,publictv,1
11,"ಕೆಂಪು, ಬಿಳಿ, ಹಸಿರು ಎಂದು ಬಾವುಟದ ಬಣ್ಣ ತಪ್ಪಾಗಿ ಹೇಳಿದ ಸಿದ್ದರಾಮಯ್ಯ",publictv,1
12,ವೀಡಿಯೋ ಲೀಕ್ ಬಗ್ಗೆ ಕಣ್ಣೀರಿಟ್ಟ ಸೋನು ಶ್ರೀನಿವಾಸ್ ಗೌಡ,publictv,1
13,"CWG 2022: ನಡಿಗೆ, ಜಾವೆಲಿನ್‌ನಲ್ಲಿ ಭಾರತಕ್ಕೆ ಕಂಚು",publictv,1
14,"CWG 2022: ಟ್ರಿಪಲ್ ಜಂಪ್‍ನಲ್ಲಿ ಡಬಲ್ ಧಮಾಕ – ಎಲ್ದೋಸ್ ಪೌಲ್‍ಗೆ ಚಿನ್ನ, ಅಬ್ದುಲ್ಲಾ ಅಬೂಬಕರ್‌ಗೆ ಬೆಳ್ಳಿ",publictv,1
15,ಬೆಳಗಾವಿಯಲ್ಲಿ 35 ಜನರಿದ್ದ ಬಸ್ ಪಲ್ಟಿ,publictv,1
16,9 ವರ್ಷಗಳ ಹಿಂದೆ ಕಿಡ್ನ್ಯಾಪ್‌ ಆಗಿದ್ದ ಬಾಲಕಿ ಪೋಸ್ಟರ್ ಸಹಾಯದಿಂದ ಹೆತ್ತವರ ಮಡಿಲಿಗೆ,publictv,1
17,"CWG-2022: ಭಾರತಕ್ಕೆ ಚಿನ್ನದ ಕಿಕ್ ಕೊಟ್ಟ ಬಾಕ್ಸರ್ಸ್, ಸಿಂಧು ಫೈನಲ್‌ಗೆ ಗ್ರ್ಯಾಂಡ್‌ ಎಂಟ್ರಿ",publictv,1
18,`ಪುಷ್ಪ’ ಪಾರ್ಟ್ -2ಗೆ ರಶ್ಮಿಕಾ ಡಿಮ್ಯಾಂಡ್ ಮಾಡಿರುವ ಸಂಭಾವನೆ ಕೇಳಿದ್ರೆ ಶಾಕ್ ಆಗುತ್ತೀರಾ!,publictv,1
19,ಹಳಿ ತಪ್ಪಿದ 8 ಬೋಗಿಗಳು- ರೈಲು ಸಂಚಾರಕ್ಕೆ ಅಡ್ಡಿ,publictv,1
20,ಆಜಾದಿ ಸ್ಯಾಟ್ ಉಪಗ್ರಹ ಉಡಾವಣೆ ವಿಫಲ: ಇಸ್ರೋ,publictv,1
21,ಮತ್ತೆ ವೈರಲ್‌ ಆಯ್ತು ಆಲಿಯಾ ಭಟ್ ಬೇಬಿ ಬಂಪ್ ಫೋಟೋ,publictv,1
22,ಮಣಿಪುರದಲ್ಲಿ ಹಿಂಸಾಚಾರ – 5 ದಿನ ಇಂಟರ್‌ನೆಟ್ ಸ್ಥಗಿತ,publictv,1
23,ಮಹಿಳೆಯರ ಹಾಕಿಯಲ್ಲಿ ರೋಚಕ ಕಾದಾಟ – ಪೆನಾಲ್ಟಿ ಶೂಟೌಟ್‍ನಲ್ಲಿ ಗೆದ್ದು ಕಂಚು ಮುಡಿಗೇರಿಸಿಕೊಂಡ ಭಾರತ,publictv,1
24,"ರಾಷ್ಟ್ರಧ್ವಜ ವಿಚಾರದಲ್ಲಿ ಕಾಂಗ್ರೆಸ್ ರಾಜಕೀಯ ಮಾಡುತ್ತಿದೆ, ನಾಚಿಕೆಯಾಗಬೇಕು: ಜಗದೀಶ್ ಶೆಟ್ಟರ್",publictv,1
25,ಕಾಫಿನಾಡು ಚಂದು ಬಿಗ್ ಬಾಸ್ ಓಟಿಟಿ ಎಂಟ್ರಿಗೆ ಕಾಯ್ತಿದ್ದ ಫ್ಯಾನ್ಸ್‌ಗೆ ಬೇಸರ,publictv,1
26,ದರ್ಗಾಗೆ ಗುದ್ದಿದ ಕಾರ್ – ಒಂದೇ ಕುಟುಂಬದ ಮೂವರ ಸಾವು,publictv,1
