,news,source
0,"ವಿಮೆ ಹಣ ಪಡೆಯಲು ಪತ್ನಿಯ ಗುಂಡಿಕ್ಕಿ ಕೊಂದ, ಸಾಲ ತೀರಿಸುವ ಮೊದಲೇ ಪತಿ ಅಂದರ್",asianet
1,"ಸ್ವಾತಂತ್ರ್ಯ ದಿನಾಚರಣೆಗೆ ಭಾರಿ ವಿದ್ವಂಸಕ ಕೃತ್ಯಕ್ಕೆ ಪ್ಲಾನ್, ISIS ಉಗ್ರನ ಬಂಧಿಸಿದ NIA",asianet
2,"ಇಸ್ರೋದಿಂದ ಮತ್ತೊಂದು ಇತಿಹಾಸ, ಎಸ್ಸೆಸ್ಸೆಲ್ವಿ ಚಿಕ್ಕ ರಾಕೆಟ್‌ ಬಳಸಿ ಉಪಗ್ರಹ ಉಡಾವಣೆ",asianet
3,ಬ್ಲೂಟೂತ್ ಅಭ್ಯರ್ಥಿಗಳಿಗೆ KPSC ಶಾಶ್ವತ ಡಿಬಾರ್ ,asianet
4,"ಕೋಲಾರ: ಆರೆಸ್ಸೆಸ್‌ ಮುಖಂಡನ ಮೇಲೆ ಹಲ್ಲೆ, ಕೊಲೆಗೆ ಯತ್ನ",asianet
5,"ಆಫ್ರಿಕಾದ ಚೀತಾ ಭಾರತದ ಕಾಡಿಗೆ, ವೈಲ್ಡ್‌ಲೈಫ್‌ ತಜ್ಞರ ಕುತೂಹಲ ಪ್ರಯೋಗ",asianet
6,ಗಾಜಾ ಮೇಲೆ ಇಸ್ರೇಲ್‌ ವೈಮಾನಿಕ ದಾಳಿ: ಓರ್ವ ಉಗ್ರ ಕಮಾಂಡರ್‌ ಸೇರಿ 10 ಮಂದಿ ಬಲಿ,asianet
7,Gadag: ಶ್ರಾವಣ ಶನಿವಾರವೇ ಹನುಮ ಮೂರ್ತಿಯನ್ನು ಕಳ್ಳತನ ಮಾಡಿದ ಕಿಡಿಗೇಡಿಗಳು,asianet
8,ಯಾದಗಿರಿಗೂ ಅಂಟಿದ ಪಿಎಸ್ಐ ಅಕ್ರಮ ನಂಟು: ಸಿದ್ದುಗೌಡ ಅರೆಸ್ಟ್,asianet
9,"ಸುಷ್ಮಾ ಸ್ವರಾಜ್ ಪುಣ್ಯತಿಥಿ, ವಿರೋಧಿಗಳೇ ತಲೆಬಾಗಿದ, ಭಾರತದ ಅತ್ಯಂತ ಪ್ರೀತಿಯ ರಾಜಕಾರಣಿಗೆ ಗೌರವ ನಮನ",asianet
10,"ಉಪರಾಷ್ಟ್ರಪತಿ ಚುನಾವಣೆ, ಬೆಳಗ್ಗೆ 10 ಗಂಟೆಯಿಂದ ಮತದಾನ, ಸಂಜೆ ಫಲಿತಾಂಶ ಘೋಷಣೆ",asianet
11,ಬೆಲೆ ಏರಿಕೆ ವಿರುದ್ಧ ಕಾಂಗ್ರೆಸ್ ಪ್ರತಿಭಟನೆ; ಕಾಂಗ್ರೆಸ್ ನಾಯಕರು ಪೊಲೀಸರ ವಶಕ್ಕೆ,asianet
12,Special 3 Circle: ಭೂತ.. ಪ್ರೇತ.. ಪಿಶಾಚಿ.. ಭ್ರಮೆಯೋ? ವಾಸ್ತವವೋ?,asianet
13,"Indo-China Talk: ಚೀನಾಕ್ಕೆ ಭಾರತದ ಎಚ್ಚರಿಕೆ, ಲಡಾಖ್‌ನಲ್ಲಿ ವಾಯು ಗಡಿ ಉಲ್ಲಂಘನೆ ಮಾಡಬೇಡಿ",asianet
14,CCB Police Operation - ನಕಲಿ ಛಾಪಾ ಕಾಗದ ದಂಧೆ ಪ್ರಕರಣ ಭೇದಿಸಿದ ಪೊಲೀಸರು- 11 ಮಂದಿ ಬಂಧನ,asianet
15,ಕಾರ್ಬೆಟ್ ಹುಲಿ ಸಂರಕ್ಷಿತ ಪ್ರದೇಶದಲ್ಲಿ 'ಮೋದಿ ಸರ್ಕ್ಯೂಟ್' ಅಭಿವೃದ್ಧಿಪಡಿಸಲಿರುವ ಉತ್ತರಾಖಂಡ ಸರ್ಕಾರ,asianet
16,ಫೋಟೋ ತೆಗೆಸಿಕೊಳ್ಳಲು ಹೋಗಿ ಜಲಪಾತಕ್ಕೆ ಬಿದ್ದ ಯುವಕ: ರಕ್ಷಣಾ ಪಡೆಯಿಂದ ಶೋಧ ಕಾರ್ಯಾಚರಣೆ,asianet
17,ಕೇಂದ್ರ ಸರ್ಕಾರದ ವಿರುದ್ಧ ಮಾತನಾಡಿದವರನ್ನೆಲ್ಲ ಜೈಲಿಗೆ ಹಾಕಲಾಗುತ್ತಿದೆ: ರಾಹುಲ್‌ ಗಾಂಧಿ ,asianet
18,ಬ್ಯಾಂಕ್‌ ಗ್ರಾಹಕರನ್ನು ಹಿಂಬಾಲಿಸಿ ಹಣ ದೋಚುತ್ತಿದ್ದವರ ಬಂಧನ,asianet
19,"ದೇಶೀಯ ನಿರ್ಮಿತ, ಲೇಸರ್-ನಿರ್ದೇಶಿತ ಟ್ಯಾಂಕ್ ವಿರೋಧಿ ಕ್ಷಿಪಣಿ ಪರೀಕ್ಷೆ ನಡೆಸಿದ DRDO",asianet
20,"ತೈವಾನ್‌ ಕಡೆ 5 ಕ್ಷಿಪಣಿ ಹಾರಿಸಿದ ಚೀನಾ, ಜಪಾನ್‌ನ ಆರ್ಥಿಕ ವಲಯದಲ್ಲಿ ಬ್ಲಾಸ್ಟ್‌",asianet
21,ಇನ್ನೂ 5 ದಿನ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾರ್ಭಟ: ನದಿಪಾತ್ರಗಳಲ್ಲಿ ಹೈ ಅಲರ್ಟ್,asianet
22,"ಮಗನ ರಕ್ಷಣೆ ಮಾಡಲು ನೀರಿಗೆ ಹಾರಿದ್ದ ಅಪ್ಪ, ತಂದೆ-ಮಗನ ಶವ ಪತ್ತೆ",asianet
23,ಚೀನಾದ ಪತ್ರಕರ್ತನನ್ನು ಮದುವೆಯಾಗಿದ್ದಾರಾ ಅಮೆರಿಕದ ನ್ಯಾನ್ಸಿ ಪೆಲೋಸಿ..?,asianet
24,ಲೋಕಸಭೆಯಿಂದ ಡೇಟಾ ಪ್ರೊಟೆಕ್ಷನ್ ಬಿಲ್ ವಾಪಸ್ ಪಡೆದ  ಸರ್ಕಾರ ,asianet
25,ಅಕ್ರಮ ಸಂಬಂಧಕ್ಕೆ ಬಲಿಯಾದ ಶಿಕ್ಷಕಿ: ನಗರಸಭೆ ಕೌನ್ಸಿಲರ್ ಸೇರಿ ನಾಲ್ವರ ಬಂಧನ,asianet
26,ನಾಳೆ ಲಾಲ್‌ಬಾಗ್‌ನಲ್ಲಿ 212ನೇ ಫ್ಲವರ್‌ ಶೋ : ಪಾರ್ಕಿಂಗ್ ವ್ಯವಸ್ಥೆ ಹೀಗಿದೆ,asianet
27,ಪ್ರತಿ ಕುಟುಂಬದ ಕನಿಷ್ಠ ಒಬ್ಬರಿಗೆ ಉದ್ಯೋಗ ನೀಡುತ್ತೇವೆ: ಯೋಗಿ ಆದಿತ್ಯನಾಥ್‌,asianet
28,"ಮೊಸಳೆ ಜೊತೆ ಯುವಕನ ಚೆಲ್ಲಾಟ, ಆಮೇಲೇನಾಯ್ತು ನೋಡಿ",asianet
29,ಜಗತ್ತಲ್ಲಿ ಆಗಿದ್ದಾಗಲಿ ನಮಗಂತೂ ನೋ ಟೆನ್ಷನ್: ಭಾರತಕ್ಕೆ ನಿರ್ಮಲಾ ಸೀತಾರಾಮನ್ ಅಭಯ‌ ,asianet
30,"ರಸ್ತೆಯಲ್ಲಿ ಬಿದ್ದ ಇಟ್ಟಿಗೆ ಬದಿಗಿಟ್ಟ ಫುಡ್ ಡೆಲಿವರಿ ಬಾಯ್, ದುಬೈ ರಾಜನಿಂದ ಭರ್ಜರಿ ಗಿಫ್ಟ್",asianet
31,"ಲಾಯರ್ ಮನೆಗೆ ದೋಚಲು ಕಳ್ಳನಿಗೆ  ನೆರವಾದ ಪ್ರೇಯಸಿ, 24 ಗಂಟೆಯೊಳಗೆ ಆರೋಪಿಗಳು ಅಂದರ್",asianet
32,ಸುರತ್ಕಲ್‌ನ ಫಾಝಿಲ್‌ ಹತ್ಯೆ: ಎಲ್ಲ ಬಂಧಿತರಿಗೆ ಹಿಂದು ಸಂಘಟನೆಗಳ ನಂಟು,asianet
33,ಗಲ್ವಾನ್ ಘರ್ಷೆಣೆಯಲ್ಲಿ ಭಾರತಕ್ಕೆ ನೆರವಾಗಿದ್ದು 1948ರಲ್ಲಿ ನಿರ್ಮಾಣವಾದ ಏರ್‌ಸ್ಟ್ರಿಪ್,asianet
34,"ಚೀನಾ ವಿರೋಧದ ನಡುವೆ ತೈವಾನ್ ಸಂಸತ್ತಿನಲ್ಲಿ ಅಮೆರಿಕ ಸ್ಪೀಕರ್ ಭಾಷಣ, ಯುದ್ಧ ಭೀತಿ",asianet
35," ಮನೆಗೆ ಸಿಂಪಡಿಸಿದ್ದ ತಿಗಣೆ ನಾಶಕ ವಾಸನೆಗೆ ಬಾಲಕಿ ಸಾವು, ಪೋಷಕರ ಜೀವನ್ಮರಣ ಹೋರಾಟ",asianet
36,ಬೆಂಗಳೂರು: ಮೆಡಿಕಲ್‌ ಎಮೆರ್ಜೆನ್ಸಿ ಕಿಟ್‌ನಲ್ಲಿ ಡ್ರಗ್ಸ್‌ ಪೂರೈಕೆ..,asianet
37,ಚೀನಾದ ಮಹಾ ಎಚ್ಚರಿಕೆಯ ನಡುವೆ ತೈವಾನ್‌ಗೆ ಕಾಲಿಟ್ಟ ಅಮೆರಿಕದ ಸ್ಪೀಕರ್‌ ನ್ಯಾನ್ಸಿ ಪೆಲೋಸಿ,asianet
38,BIG 3: ಹಕ್ಕು ಕೇಳಿದ್ದಕ್ಕೆ ಎರಡು ಕುಟುಂಬಗಳಿಗೆ ಬಹಿಷ್ಕಾರ,asianet
39,ಡ್ಯಾನ್ಸರ್‌ಗಳ ಮೇಲೆ ಬಿದ್ದ ಬೃಹತ್ ಎಲ್‌ಇಡಿ ಸ್ಕ್ರೀನ್ ಮುಂದೇನಾಯ್ತು?,asianet
40,ಕಾಳಸರ್ಪ ದೋಷಕ್ಕೆ ಪರಿಹಾರದ ಹೆಸರಲ್ಲಿ ಅಶ್ರಮದಲ್ಲೇ ರೇಪ್‌ ಮಾಡಿದ ಬಾಬಾ,asianet
41,ಮಂಡ್ಯದ ಯುವತಿಯನ್ನು ಹೊಗಳಿದ್ದ ಅಲ್‌ಖೈದಾ ಮುಖ್ಯಸ್ಥ ಜವಾಹಿರಿ ಅಮೆರಿಕದಿಂದ ಹತ್ಯೆ ,asianet
42,Mangaluru Fazil Murder; ಫಾಝಿಲ್ ಹತ್ಯೆಗೈದ 6 ಆರೋಪಿಗಳು ಅರೆಸ್ಟ್,asianet
43,Praveen Netturu murder case; ಹಂತಕರ ಪತ್ತೆಗೆ ಮಂಗಳೂರು ಪೊಲೀಸರಿಂದ ಮಾಸ್ಟರ್ ಪ್ಲಾನ್,asianet
44,ಬೃಹತ್ ಮರದಿಂದ ಹಲಸಿನ ಹಣ್ಣು ಕೊಯ್ದ ಗಜರಾಜ: ಅಪರೂಪದ ವಿಡಿಯೋ ವೈರಲ್,asianet
45,ದೇಶದ ಆರ್ಥಿಕತೆ ಭದ್ರವಾಗಿದೆ: ಸಮರ್ಥಿಸಿಕೊಂಡ ವಿತ್ತ ಸಚಿವೆ ,asianet
46,ಕೇಸ್‌ ರದ್ದತಿಗೆ ಡಿಕೆಶಿ ಅರ್ಜಿ: ಸಿಬಿಐಗೆ ಹೈಕೋರ್ಟ್‌ ನೋಟಿಸ್‌,asianet
47,"ಸದನದಲ್ಲಿ ಹಣದುಬ್ಬರ ಚರ್ಚೆ ವೇಳೆ, 1.6 ಲಕ್ಷದ ಬ್ಯಾಗ್‌ಅನ್ನು ಮುಚ್ಚಿಟ್ಟ ಟಿಎಂಸಿ ಸಂಸದೆ ಮಹುವಾ ಮೊಯಿತ್ರಾ",asianet
48,Chain-Link Scam:  ಚೈನ್ ಲಿಂಕ್ ನಂಬಿ ಸೇರಿಕೊಂಡ ಮಹಿಳೆ ಈಗ ಪರದಾಟ,asianet
