news,source,label
"ಶ್ರೀಲಂಕಾ: ಆ.10ರವರೆಗೆ ಪ್ರತಿಭಟನೆ ಮುಂದುವರಿಯುವ ಸಾಧ್ಯತೆ                              
                        ",prajavani,1
ರಾಜ್ಯಸಭಾ  ಫಲಿತಾಂಶದ ನಂತರ ಬಿಜೆಪಿ ಸೃಷ್ಟಿಸಿದ ದಾಖಲೆಗಳೇನು? ,asianet,1
 ಅತ್ಯಾಚಾರ ನಮ್ಮ ಸಂಸ್ಕೃತಿಯ ಅಂಗ ಅಂದ್ರಾ ಬಿಜೆಪಿ ಸಂಸದೆ?,asianet,0
"ಚಾಮರಾಜನಗರ: ಓಮ್ನಿ ಕಾರಿನ ಮೇಲೆ ಬಿದ್ದ ಆಲದ ಮರ, ತಂದೆ - ಮಗ ಸ್ಥಳದಲ್ಲೇ ಸಾವು                              
                        ",prajavani,1
ತ್ಯಾಗ ಬಲಿದಾನದ ಸಂಕೇತವೇ ಸ್ವಾತಂತ್ರ್ಯ ,prajavani,1
ದಿ ಪಾರ್ಕ್ ಹೋಟೆಲ್ ರೇವ್ ಪಾರ್ಟಿ ಪ್ರಕರಣ: ಪಾರ್ಟಿಗೆ ಡ್ರಗ್ಸ್ ಬಂದಿದ್ಹೇಗೆ..? ,asianet,1
"ಕಣಿವೆಯಲ್ಲಿ ಉಂಟಾದ ಭಾರೀ ಟ್ರಾಫಿಕ್ ಜಾಮ್‌ನ ವಿಡಿಯೋ ಪಾಕಿಸ್ತಾನದ್ದು, ಹಿಮಾಚಲ ಪ್ರದೇಶದ್ದಲ್ಲ",factly,0
"ವಿಮೆ ಹಣ ಪಡೆಯಲು ಪತ್ನಿಯ ಗುಂಡಿಕ್ಕಿ ಕೊಂದ, ಸಾಲ ತೀರಿಸುವ ಮೊದಲೇ ಪತಿ ಅಂದರ್",asianet,1
ಸೋನಿಯಾ ಗಾಂಧಿ ನಂತರ ಪ್ರಿಯಾಂಕ ಗಾಂಧಿಗೂ ಕೋವಿಡ್‌ ಪಾಸಿಟಿವ್‌,asianet,1
 ನೀಟ್‌ ಪರೀಕ್ಷೆಯ ಮೊದಲ ಐದೂ ಸ್ಥಾನಗಳು ಮುಸ್ಲಿಮರಿಗೆ?,asianet,0
 ಪ್ರತಿಭಟನೆ ಮಾಡುತ್ತಿರುವ ರೈತರು ರಾಷ್ಟ್ರಧ್ವಜವನ್ನು ಅವಮಾನಿಸಿದರೇ?,oneindia,0
"ಭಾರತಕ್ಕೆ ಕಚ್ಚಾತೈಲ ಪೂರೈಕೆ: ಸೌದಿ ಅರೇಬಿಯಾ ಜತೆ ರಷ್ಯಾ ಪೈಪೋಟಿ                              
                        ",prajavani,1
 ಮುಸ್ಲಿಮರ ಮೇಲಿನ ದೌರ್ಜನ್ಯದ ವಿಡಿಯೋ ವೈರಲ್? ,oneindia,0
"ಪೊಲೀಸ್‌ ನೇಮಕ ವಯೋಮಿತಿ ಹೆಚ್ಚಳಕ್ಕೆ ಆಗ್ರಹ                              
                        ",prajavani,1
ಯುವತಿ ಗ್ಯಾಂಗ್‌ ರೇಪ್‌: ಬಾಂಗ್ಲಾದ 12 ಅಪರಾಧಿಗಳಿಗೆ ಶಿಕ್ಷೆ,asianet,1
“ಹೇಗಿದೆ ಜೋಶ್?” ಎಂಬ ನೂಪುರ್ ಶರ್ಮಾರವರ ಹಳೆಯ ವಿಡಿಯೋವನ್ನು ಇತ್ತೀಚಿನದ್ದು ಎಂದು ತಪ್ಪಾಗಿ ಹಂಚಿಕೊಳ್ಳಲಾಗಿದೆ,factly,0
ಗುಂಡಿಗಳೇ ತುಂಬಿರುವ ರಸ್ತೆಯಲ್ಲಿ ವಾಹನಗಳು ಜಿಗಿದು ಹೋಗುವ ವಿಡಿಯೋ ಭಾರತದ್ದಲ್ಲ,factly,0
" ಜಮಾತ್ ಇ ಅಹ್ಲೆಹದೀತ್ ಮುಖಂಡನ ಹತ್ಯೆ, ಆರೋಪಿಗಳು ಖುಲಾಸೆ? ",oneindia,0
"ಕನ್ನಡ ಕಡೆಗಣನೆ ಕೈಗಾರಿಕಾ ಒಕ್ಕೂಟ: ಆಕ್ಷೇಪ                              
                        ",prajavani,1
"ಕಲಾವಿದರನ್ನು ಗುರುತಿಸುವ ಕಾರ್ಯ ನಿರಂತರವಾಗಲಿ: ನಟ ಸುಚೇಂದ್ರ ಪ್ರಸಾದ್                              
                        ",prajavani,1
"‘ಪಯಣ’ ಆಲ್ಬಮ್ ಸಾಂಗ್ ಬಿಡುಗಡೆ                              
                        ",prajavani,1
ಬಾಂಗ್ಲಾದೇಶದ ಹಿಂದೂ ದೇವಾಲಯದ ಮೇಲಿನ ದಾಳಿಯ ವೀಡಿಯೊವನ್ನು ಪಶ್ಚಿಮ ಬಂಗಾಳದಲ್ಲಿ ದುರ್ಗಾ ಪೂಜೆಯ ವೇಳೆ ನಡೆದ ದಾಳಿ ಎಂದು ಹಂಚಿಕೊಳ್ಳಲಾಗುತ್ತಿದೆ,factly,0
"ಬೆಂಗ್ಳೂರು: ಸ್ಪಾ ಹೆಸರಲ್ಲಿ ವೇಶ್ಯಾವಾಟಿಕೆ ದಂಧೆ,  8 ಮಂದಿ ನೊಂದ ಯುವತಿಯರ ರಕ್ಷಣೆ",asianet,1
"ಬೀದರ್‌: ವರಮಹಾಲಕ್ಷ್ಮಿ ವ್ರತ, ಅರಿಶಿಣ - ಕುಂಕುಮ ವಿತರಣೆ                              
                        ",prajavani,1
"ಇಂದು ಕಡಲಿಗೆ ಇಳಿಯದಂತೆ ಸೂಚನೆ                              
                        ",prajavani,1
 ಹಿಂದೂ​ಗ​ಳಿಗೆ ಮಕ್ಕ​ಳಾ​ಗ​ದಂತೆ ಬಿರಿ​ಯಾ​ನಿ​ಯಲ್ಲಿ ಮಾತ್ರೆ?,asianet,0
ಕಾಂಗ್ರೆಸ್ ನಾಯಕ ರಾಹುಲ್ ಗಾಂಧಿಯ ವಯ್ನಾಡ್‌ ಕಚೇರಿ ಧ್ವಂಸ ಮಾಡಿದ ಎಸ್ಎಫ್ಐ,asianet,1
"ಆಲಮಟ್ಟಿ: ಯುವಜನ ಸಂಕಲ್ಪ ಯಾತ್ರೆಯ ವೈಭವ                              
                        ",prajavani,1
ಪತಿಯ ಕೊಲ್ಲುವಷ್ಟು ಕ್ರೂರಿ ನಾನಲ್ಲ: ಅನಂತರಾಜು ಪತ್ನಿ,asianet,1
 ಹಿಂದುತ್ವ ಸಂದೇಶ ಸಾರಲು ರಷ್ಯಾ ರೈಲುಗಳ ಮೇಲೆ ಶ್ರೀಕೃಷ್ಣ,asianet,0
